year,gross_advances,net_advances,gnpa_amount,gnpa_pct,gnpa_pct_assets,nnpa_amount,nnpa_pct,nnpa_pct_assets
1996-97,"27,525","26,853","1,181",4.3,2.1,516,1.9,0.9
1996-97,"21,702","20,832","2,325",10.7,5.2,"1,385",6.6,3.1
1996-97,"2,44,214","2,20,922","43,577",17.8,7.8,"20,285",9.2,3.6
1996-97,"3,01,698","2,76,421","47,300",15.7,7.0,"22,340",8.1,3.3
1996-97,"8,257","7,814",217,2.6,1.3,154,2.0,1.0
1997-98,"25,580","24,353","2,794",10.9,5.1,"1,572",6.5,2.9
1997-98,"2,84,971","2,60,459","45,653",16.0,7.0,"21,232",8.2,3.3
1997-98,"30,972","29,652","1,976",6.4,3.0,666,2.2,1.0
1997-98,"3,52,696","3,25,522","50,815",14.4,6.4,"23,761",7.3,3.0
1997-98,"11,173","11,058",392,3.5,1.5,291,2.6,1.1
1998-99,"28,979","26,017","3,784",13.1,5.8,"2,332",9.0,3.6
1998-99,"3,99,436","3,67,012","58,722",14.7,6.2,"28,020",7.6,2.9
1998-99,"3,25,328","2,97,789","51,710",15.9,6.7,"24,211",8.1,3.1
1998-99,"31,059","29,492","2,357",7.6,3.1,866,2.9,1.1
1998-99,"14,070","13,714",871,6.2,2.3,611,4.5,1.6
1999-00,"4,75,113","4,44,292","60,408",12.7,5.5,"30,073",6.8,2.7
1999-00,"3,79,461","3,52,714","53,033",14.0,6.0,"26,187",7.4,2.9
1999-00,"35,404","33,879","3,815",10.8,5.2,"2,393",7.1,3.3
1999-00,"22,816","22,156",946,4.1,1.6,638,2.9,1.1
1999-00,"37,432","35,543","2,614",7.0,3.2,855,2.4,1.0
2000-01,"5,58,766","5,26,328","63,741",11.4,4.9,"32,461",6.2,2.5
2000-01,"31,499","30,163","1,617",5.1,2.1,929,3.1,1.2
2000-01,"45,395","43,063","3,106",6.8,3.0,785,1.8,0.8
2000-01,"4,42,134","4,15,207","54,672",12.4,5.3,"27,977",6.7,2.7
2000-01,"39,738","37,948","4,262",10.7,5.0,"2,716",7.2,3.2
2001-02,"44,057","42,286","4,389",10.0,4.7,"2,775",6.6,3.0
2001-02,"5,09,368","4,80,681","56,473",11.1,4.9,"27,958",5.8,2.4
2001-02,"79,201","74,555","6,821",8.6,3.9,"3,663",4.9,2.1
2001-02,"6,80,958","6,45,859","70,861",10.4,4.6,"35,554",5.5,2.3
2001-02,"50,631","48,705","2,726",5.4,2.4,920,1.9,0.8
2002-03,"99,887","89,515","7,492",7.5,3.9,"4,335",4.8,2.3
2002-03,"54,184","52,171","2,845",5.3,2.4,903,1.7,0.8
2002-03,"5,77,813","5,49,351","54,090",9.4,4.2,"24,877",4.5,1.9
2002-03,"51,329","49,434","4,291",8.4,4.1,"2,547",5.2,2.4
2002-03,"7,78,043","7,40,473","68,717",8.8,4.1,"29,692",4.0,1.8
2003-04,"62,632","60,506","2,894",4.6,2.1,933,1.5,0.7
2003-04,"1,19,511","1,15,147","4,517",3.8,1.8,"2,717",2.4,1.1
2003-04,"57,908","55,581","4,393",7.6,3.6,"2,140",3.9,1.8
2003-04,"9,02,026","8,62,643","64,812",7.2,3.3,"24,396",2.8,1.2
2003-04,"6,61,975","6,31,383","51,537",7.8,3.5,"19,335",3.1,1.3
2004-05,"70,412","68,184","4,190",6.0,3.1,"1,845",2.7,1.4
2004-05,"1,55,577","1,53,119","4,336",2.8,1.5,"2,240",1.5,0.8
2004-05,"11,67,684","11,50,836","59,373",5.1,2.5,"21,754",1.9,0.9
2004-05,"73,169","75,318","2,192",3.0,1.4,639,0.8,0.4
2004-05,"8,70,851","8,54,214","48,399",5.6,2.7,"16,904",2.0,1.0
2005-06,"2,32,536","2,30,005","4,051",1.7,1.0,"1,795",0.8,0.4
2005-06,"15,45,730","15,16,811","51,097",3.3,1.8,"18,543",1.2,0.7
2005-06,"95,905","97,562","1,928",2.0,1.0,808,0.8,0.4
2005-06,"85,154","82,957","3,182",3.7,2.1,"1,101",1.3,0.7
2005-06,"11,34,724","11,06,288","41,358",3.6,2.1,"14,566",1.3,0.7
2006-07,"14,64,495","14,40,146","38,968",2.7,1.6,"15,325",1.1,0.6
2006-07,"94,872","92,887","2,810",3.0,1.8,831,0.9,0.5
2006-07,"3,25,273","3,21,865","6,286",1.9,1.1,"3,136",1.0,0.5
2006-07,"20,07,413","19,81,237","50,487",2.5,1.5,"20,281",1.0,0.6
2006-07,"1,24,677","1,26,339","2,263",1.8,0.8,927,0.7,0.3
2007-08,"1,60,658","1,61,133","2,859",1.8,0.8,"1,247",0.8,0.3
2007-08,"4,12,441","4,06,732","10,440",2.5,1.4,"4,907",1.2,0.7
2007-08,"18,19,074","17,97,401","40,452",2.2,1.3,"17,836",1.0,0.6
2007-08,"25,03,431","24,76,936","56,309",2.2,1.3,"24,730",1.0,0.6
2007-08,"1,13,404","1,11,670","2,557",2.3,1.3,740,0.7,0.4
2008-09,"22,82,825","22,59,212","44,957",2.0,1.2,"21,155",0.9,0.6
2008-09,"30,37,586","29,99,924","68,328",2.2,1.3,"31,564",1.1,0.6
2008-09,"1,30,334","1,28,504","3,072",2.4,1.3,"1,159",0.9,0.5
2008-09,"1,69,713","1,65,385","6,445",3.8,1.4,"2,997",1.8,0.7
2008-09,"4,54,713","4,46,999","13,854",3.0,1.7,"6,252",1.4,0.8
2009-10,"4,87,713","4,78,358","14,017",2.9,1.6,"5,234",1.1,0.6
2009-10,"35,45,000","34,97,054","84,698",2.4,1.4,"38,723",1.1,0.6
2009-10,"1,56,392","1,54,136","3,622",2.3,1.3,"1,137",0.7,0.4
2009-10,"1,67,437","1,63,260","7,134",4.3,1.6,"2,977",1.8,0.7
2009-10,"27,33,458","27,01,300","59,926",2.2,1.3,"29,375",1.1,0.7
2010-11,"6,24,484","6,12,886","14,500",2.3,1.3,"3,400",0.6,0.3
2010-11,"1,99,318","1,95,539","5,069",2.5,1.0,"1,312",0.7,0.3
2010-11,"33,46,450","33,05,632","74,664",2.2,1.4,"36,055",1.1,0.7
2010-11,"1,87,296","1,84,647","3,600",1.9,1.2,900,0.5,0.3
2010-11,"43,57,548","42,98,704","97,973",2.2,1.4,"41,799",1.0,0.6
2011-12,"39,42,732","38,77,308","1,17,839",3.0,2.0,"59,391",1.5,1.0
2011-12,"51,58,878","50,73,559","1,42,903",2.8,1.7,"65,205",1.3,0.8
2011-12,"2,32,918","2,30,079","4,200",1.8,1.1,"1,300",0.6,0.3
2011-12,"2,34,727","2,29,849","6,297",2.7,1.1,"1,412",0.6,0.2
2011-12,"7,48,500","7,36,300","14,500",1.9,1.1,"3,000",0.4,0.2
2012-13,"2,68,966","2,63,680","7,977",3.0,1.3,"2,663",1.0,0.4
2012-13,"45,60,169","44,72,845","1,65,006",3.6,2.4,"90,037",2.0,1.3
2012-13,"2,73,120","2,69,937","5,210",1.9,1.2,"2,000",0.7,0.4
2012-13,"59,88,277","58,79,773","1,94,053",3.2,2.0,"98,693",1.7,1.0
2012-13,"8,86,023","8,73,252","15,800",1.8,1.0,"3,900",0.4,0.3
2013-14,"52,15,920","51,01,137","2,27,264",4.4,2.9,"1,30,394",2.6,1.6
2013-14,"68,75,748","67,35,213","2,63,362",3.8,2.4,"1,42,421",2.1,1.3
2013-14,"2,99,575","2,91,142","11,565",3.9,1.5,"3,160",1.1,0.4
2013-14,"13,60,253","13,42,935","24,542",1.8,1.1,"8,862",0.7,0.4
2014-15,"16,07,329","15,84,312","34,106",2.1,1.3,"14,128",0.9,0.5
2014-15,"3,36,638","3,27,599","10,761",3.2,1.4,"1,762",0.5,0.2
2014-15,"56,15,793","54,76,250","2,78,468",5.0,3.2,"1,59,951",2.9,1.8
2014-15,"75,59,760","73,88,160","3,23,335",4.3,2.7,"1,75,841",2.4,1.5
2015-16,"19,72,608","19,39,339","56,186",2.8,1.8,"26,677",1.4,0.8
2015-16,"81,73,121","78,96,467","6,11,947",7.5,4.7,"3,49,814",4.4,2.7
2015-16,"3,76,607","3,63,551","15,805",4.2,1.9,"2,762",0.8,0.3
2015-16,"58,23,907","55,93,577","5,39,956",9.3,5.9,"3,20,376",5.7,3.5
2016-17,"84,92,565","81,16,109","7,91,791",9.3,5.6,"4,33,121",5.3,3.1
2016-17,"3,43,822","3,32,335","13,629",4.0,1.7,"2,137",0.6,0.3
2016-17,"22,66,721","22,19,475","93,209",4.1,2.6,"47,780",2.2,1.3
2016-17,"58,74,849","55,57,232","6,84,732",11.7,7.0,"3,83,089",6.9,3.9
2017-18,"27,25,891","26,62,753","1,29,335",4.7,3.0,"64,380",2.4,1.5
2017-18,"3,63,305","3,51,016","13,849",3.8,1.6,"1,548",0.4,0.2
2017-18,"61,41,698","56,97,350","8,95,601",14.6,8.9,"4,54,473",8.0,4.5
2017-18,"92,66,210","87,45,997","10,39,679",11.2,6.8,"5,20,838",6.0,3.4
2018-19,"62,775","59,461","1,087",1.7,1.3,586,1.0,0.7
2018-19,"4,06,881","3,96,726","12,242",3.0,1.2,"2,051",0.5,0.2
2018-19,"1,02,94,463","96,76,183","9,36,474",9.1,5.6,"3,55,068",3.7,2.1
2018-19,"34,42,347","33,27,328","1,83,604",5.3,3.5,"67,309",2.0,1.3
2018-19,"63,82,461","58,92,667","7,39,541",11.6,7.3,"2,85,122",4.8,2.8
2019-20,"1,09,18,918","1,03,01,897","8,99,803",8.2,5.0,"2,89,370",2.8,1.6
2019-20,"4,36,066","4,28,076","10,208",2.3,0.8,"2,005",0.5,0.2
2019-20,"37,76,231","36,25,154","2,09,568",5.5,3.6,"55,683",1.5,1.0
2019-20,"66,15,112","61,58,112","6,78,317",10.3,6.3,"2,30,918",3.7,2.1
2019-20,"91,509","90,554","1,709",1.9,1.3,765,0.8,0.6
2020-21,"1,13,99,608","1,08,06,381","8,35,138",7.3,4.3,"2,58,050",2.4,1.3
2020-21,"67,70,363","63,47,417","6,16,616",9.1,5.3,"1,96,451",3.1,1.7
2020-21,"1,11,589","1,08,613","5,971",5.4,3.7,"2,981",2.7,1.8
2020-21,"40,97,040","39,29,572","1,97,508",4.8,3.1,"55,377",1.4,0.9
2020-21,"4,20,617","4,20,780","15,044",3.6,1.2,"3,241",0.8,0.3
2021-22,"74,33,006","70,43,940","5,42,174",7.3,4.3,"1,54,745",2.2,1.2
2021-22,"1,40,003","1,35,802","6,911",4.9,3.4,"2,725",2.0,1.3
2021-22,"47,00,912","45,53,541","1,80,769",3.8,2.5,"43,738",1.0,0.6
2021-22,"4,76,085","4,65,484","13,786",2.9,1.0,"3,023",0.6,0.2
2021-22,"1,27,50,006","1,21,98,767","7,43,640",5.8,3.4,"2,04,231",1.7,0.9
2022-23,,,,,,,,
2022-23,"86,10,115","82,83,763","4,28,197",5.0,3.1,"1,02,532",1.2,0.7
2022-23,"54,62,976","53,66,673","1,25,214",2.3,1.5,"29,510",0.5,0.3
2022-23,"1,47,56,637","1,43,19,352","5,71,546",3.9,2.4,"1,35,320",0.9,0.6
2022-23,"1,84,808","1,77,887","8,608",4.7,3.2,"1,622",0.9,0.6
2022-23,"4,98,738","4,91,029","9,526",1.9,0.6,"1,656",0.3,0.1
2023-24,"1,75,08,590","1,71,42,340","4,80,818",2.7,1.7,"1,06,732",0.6,0.4
2023-24,"5,46,121","5,48,474","6,523",1.2,0.4,799,0.1,0.0
2023-24,"69,59,146","68,61,388","1,29,164",1.9,1.2,"31,594",0.5,0.3
2023-24,,,,,,,,
2023-24,"97,73,488","95,06,329","3,39,541",3.5,2.2,"72,544",0.8,0.5
2023-24,"2,29,835","2,26,148","5,590",2.4,1.7,"1,796",0.8,0.5
"Notes : 1. Data for 2023-24 are provisional.
             2. Data for 2013-14 pertains to all Private Sector Banks.
             3. Data on Scheduled Commercial Banks & Public Sector Banks for 2004-05 include the impact of conversion of a non-banking entity into a banking entity.",,,,,,,,
